Target,Predictor,Importance,Importance_Type,Importance_Rank
delta_increment_NoCDF_minus_CDF_RZSM,soil_texture_dominant_fraction,0.0,Impurity,15.0
delta_increment_NoCDF_minus_CDF_RZSM,land_cover_dominant_fraction,0.0,Impurity,15.0
delta_NoCDF_minus_CDF_SSM,precipitation_model,0.0634160076488921,Impurity,10.0
delta_NoCDF_minus_CDF_SSM,SSM_OPL,0.10727784417397537,Impurity,1.0
delta_NoCDF_minus_CDF_SSM,RZSM_OPL,0.07990156480220892,Impurity,4.0
delta_NoCDF_minus_CDF_SSM,Evap_tavg_OPL,0.08409807229771622,Impurity,3.0
delta_NoCDF_minus_CDF_SSM,Qs_tavg_OPL,0.07114131901540656,Impurity,8.0
delta_NoCDF_minus_CDF_SSM,Qsb_tavg_OPL,0.0787811687350863,Impurity,5.0
delta_NoCDF_minus_CDF_SSM,SMC_L1_OPL,0.10245692928976664,Impurity,2.0
delta_NoCDF_minus_CDF_SSM,SMC_L2_OPL,0.059230950921953074,Impurity,11.0
delta_NoCDF_minus_CDF_SSM,SMC_L3_OPL,0.07192157277946273,Impurity,7.0
delta_NoCDF_minus_CDF_SSM,SMC_L4_OPL,0.06728015930238578,Impurity,9.0
delta_NoCDF_minus_CDF_SSM,month,0.056181052546554554,Impurity,12.0
delta_NoCDF_minus_CDF_SSM,season,0.053988547602972774,Impurity,13.0
delta_NoCDF_minus_CDF_SSM,elevation,0.0,Impurity,15.0
delta_NoCDF_minus_CDF_SSM,soil_texture,0.029150803591259107,Impurity,14.0
delta_NoCDF_minus_CDF_SSM,land_cover,0.07517400729235985,Impurity,6.0
delta_NoCDF_minus_CDF_SSM,irrigation_fraction,0.0,Impurity,15.0
delta_NoCDF_minus_CDF_SSM,soil_texture_dominant_fraction,0.0,Impurity,15.0
delta_NoCDF_minus_CDF_SSM,land_cover_dominant_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_RZSM,precipitation_model,0.052995108542421863,Impurity,11.0
delta_DA_NoCDF_minus_OPL_RZSM,SSM_OPL,0.06552711546023635,Impurity,8.0
delta_DA_NoCDF_minus_OPL_RZSM,RZSM_OPL,0.12289934261946395,Impurity,1.0
delta_DA_NoCDF_minus_OPL_RZSM,Evap_tavg_OPL,0.07313024223794796,Impurity,7.0
delta_DA_NoCDF_minus_OPL_RZSM,Qs_tavg_OPL,0.06299943391883893,Impurity,10.0
delta_DA_NoCDF_minus_OPL_RZSM,Qsb_tavg_OPL,0.08549269154165148,Impurity,4.0
delta_DA_NoCDF_minus_OPL_RZSM,SMC_L1_OPL,0.06448242204865776,Impurity,9.0
delta_DA_NoCDF_minus_OPL_RZSM,SMC_L2_OPL,0.10089924278464774,Impurity,3.0
