group,n_ref,ref_mean,ref_std
"(30.0, -8.950012, 7)",5,0.12558858,0.015701126
"(30.0, -8.950012, 8)",5,0.122735165,0.013706172
"(30.0, -8.950012, 9)",5,0.12289425,0.013398864
"(30.0, -8.950012, 10)",5,0.12784496,0.018676756
"(30.0, -8.950012, 11)",5,0.1465658,0.037656076
"(30.0, -8.950012, 12)",5,0.1577011,0.033473536
"(30.0, -8.900024, 1)",5,0.1527209,0.032652915
"(30.0, -8.900024, 2)",5,0.16028759,0.040728167
"(30.0, -8.900024, 3)",5,0.1596353,0.039609022
"(30.0, -8.900024, 4)",5,0.15089595,0.03244472
"(30.0, -8.900024, 5)",5,0.14092001,0.02519542
"(30.0, -8.900024, 6)",5,0.13171658,0.019839652
"(30.0, -8.900024, 7)",5,0.12528047,0.015905505
"(30.0, -8.900024, 8)",5,0.12264943,0.014114565
"(30.0, -8.900024, 9)",5,0.12303708,0.014033161
"(30.0, -8.900024, 10)",5,0.1283822,0.020188887
"(30.0, -8.900024, 11)",5,0.14742959,0.039583243
"(30.0, -8.900024, 12)",5,0.15772723,0.035328493
"(30.0, -8.849976, 1)",5,0.15280868,0.0342082
"(30.0, -8.849976, 2)",5,0.1601061,0.041531954
"(30.0, -8.849976, 3)",5,0.15935947,0.039862577
"(30.0, -8.849976, 4)",5,0.15075848,0.032337572
"(30.0, -8.849976, 5)",5,0.14074707,0.024332955
"(30.0, -8.849976, 6)",5,0.1313171,0.018786293
"(30.0, -8.849976, 7)",5,0.124710225,0.014879785
"(30.0, -8.849976, 8)",5,0.12213232,0.013276628
"(30.0, -8.849976, 9)",5,0.12269982,0.01355614
"(30.0, -8.849976, 10)",5,0.12823662,0.02099109
"(30.0, -8.849976, 11)",5,0.14760378,0.041171495
"(30.0, -8.849976, 12)",5,0.15766484,0.03721595
"(30.0, -8.799988, 1)",5,0.15330282,0.036032442
"(30.0, -8.799988, 2)",5,0.16039869,0.042592447
"(30.0, -8.799988, 3)",5,0.15965542,0.04026795
"(30.0, -8.799988, 4)",5,0.15103327,0.032080367
"(30.0, -8.799988, 5)",5,0.14085653,0.022911474
"(30.0, -8.799988, 6)",5,0.13105401,0.016989138
"(30.0, -8.799988, 7)",5,0.1242831,0.0131467525
"(30.0, -8.799988, 8)",5,0.1217563,0.011886772
"(30.0, -8.799988, 9)",5,0.122588016,0.0127703
"(30.0, -8.799988, 10)",5,0.12831977,0.021624997
"(30.0, -8.799988, 11)",5,0.14794624,0.04255574
"(30.0, -8.799988, 12)",5,0.15806489,0.03916951
"(30.0, -8.75, 1)",5,0.15425728,0.038174298
"(30.0, -8.75, 2)",5,0.16116713,0.044020526
"(30.0, -8.75, 3)",5,0.1605017,0.040913902
"(30.0, -8.75, 4)",5,0.15165311,0.031831846
"(30.0, -8.75, 5)",5,0.14116862,0.0209862
"(30.0, -8.75, 6)",5,0.130831,0.014376331
"(30.0, -8.75, 7)",5,0.12387379,0.0105633
"(30.0, -8.75, 8)",5,0.121389985,0.009866738
"(30.0, -8.75, 9)",5,0.122623846,0.011736138
"(30.0, -8.75, 10)",5,0.12868333,0.022183584
"(30.0, -8.75, 11)",5,0.1485631,0.043893706
"(30.0, -8.75, 12)",5,0.15888269,0.04135313
"(30.0, -8.700012, 1)",5,0.23060954,0.0060876026
"(30.0, -8.700012, 2)",5,0.23415664,0.013800665
"(30.0, -8.700012, 3)",5,0.23154207,0.0089524165
"(30.0, -8.700012, 4)",5,0.22548136,0.0060983594
"(30.0, -8.700012, 5)",5,0.22277665,0.004644215
"(30.0, -8.700012, 6)",5,0.22029129,0.005847178
"(30.0, -8.700012, 7)",5,0.21902785,0.005216845
"(30.0, -8.700012, 8)",5,0.21999292,0.0048796395
"(30.0, -8.700012, 9)",5,0.22251233,0.004059878
"(30.0, -8.700012, 10)",5,0.22697282,0.009207136
"(30.0, -8.700012, 11)",5,0.23612759,0.014581132
"(30.0, -8.700012, 12)",5,0.23792973,0.011170435
"(30.0, -8.650024, 1)",5,0.2308033,0.006183857
"(30.0, -8.650024, 2)",5,0.2339398,0.013379216
"(30.0, -8.650024, 3)",5,0.23146555,0.008947713
"(30.0, -8.650024, 4)",5,0.22530265,0.0062686154
"(30.0, -8.650024, 5)",5,0.22263324,0.0046276664
"(30.0, -8.650024, 6)",5,0.22008531,0.0058999024
"(30.0, -8.650024, 7)",5,0.21886,0.005304878
"(30.0, -8.650024, 8)",5,0.21995708,0.004950974
"(30.0, -8.650024, 9)",5,0.2228233,0.003969077
"(30.0, -8.650024, 10)",5,0.22720888,0.00965425
"(30.0, -8.650024, 11)",5,0.23632912,0.0148817515
"(30.0, -8.650024, 12)",5,0.23805785,0.011542239
"(30.0, -8.599976, 1)",5,0.23090188,0.006237958
"(30.0, -8.599976, 2)",5,0.23363695,0.012934507
"(30.0, -8.599976, 3)",5,0.2313286,0.008948942
"(30.0, -8.599976, 4)",5,0.22508976,0.006388018
"(30.0, -8.599976, 5)",5,0.22237964,0.0046420046
"(30.0, -8.599976, 6)",5,0.2197969,0.005886154
"(30.0, -8.599976, 7)",5,0.21864681,0.0053511867
"(30.0, -8.599976, 8)",5,0.2198592,0.0049673114
"(30.0, -8.599976, 9)",5,0.22306077,0.0038763015
"(30.0, -8.599976, 10)",5,0.22732754,0.010007824
"(30.0, -8.599976, 11)",5,0.2363302,0.015193147
"(30.0, -8.599976, 12)",5,0.2380799,0.011785094
"(30.0, -8.549988, 1)",5,0.23064788,0.0060377247
