land_cover,year,month,pct_area,experiment,dry_category
7,2017,4,34.474804,OPL,D0
7,2017,5,69.49965,OPL,D0
7,2017,6,79.38254,OPL,D0
7,2017,7,84.81193,OPL,D0
7,2017,8,86.071686,OPL,D0
7,2017,9,74.982254,OPL,D0
7,2017,10,79.47125,OPL,D0
7,2017,11,93.70121,OPL,D0
7,2017,12,87.89922,OPL,D0
7,2018,1,38.99929,OPL,D0
7,2018,2,18.772179,OPL,D0
7,2018,3,2.0404541,OPL,D0
7,2018,4,6.2987933,OPL,D0
7,2018,5,1.1178141,OPL,D0
7,2018,6,4.648687,OPL,D0
7,2018,7,9.279631,OPL,D0
7,2018,8,13.307311,OPL,D0
7,2018,9,14.833215,OPL,D0
7,2018,10,7.966643,OPL,D0
7,2018,11,3.4421575,OPL,D0
7,2018,12,6.014904,OPL,D0
7,2019,1,6.210078,OPL,D0
7,2019,2,18.452805,OPL,D0
7,2019,3,45.33357,OPL,D0
7,2019,4,46.806248,OPL,D0
7,2019,5,72.8176,OPL,D0
7,2019,6,84.63449,OPL,D0
7,2019,7,84.74095,OPL,D0
7,2019,8,80.18098,OPL,D0
7,2019,9,68.48829,OPL,D0
7,2019,10,68.896385,OPL,D0
7,2019,11,64.034775,OPL,D0
7,2019,12,64.21221,OPL,D0
7,2020,1,61.47977,OPL,D0
7,2020,2,73.74411,OPL,D0
7,2020,3,83.21504,OPL,D0
7,2020,4,46.43364,OPL,D0
7,2020,5,19.943222,OPL,D0
7,2020,6,8.427963,OPL,D0
7,2020,7,7.0262594,OPL,D0
7,2020,8,9.119944,OPL,D0
7,2020,9,25.816181,OPL,D0
7,2020,10,31.263308,OPL,D0
7,2020,11,35.557133,OPL,D0
7,2020,12,41.572037,OPL,D0
8,2016,1,95.77465,OPL,D0
8,2016,2,98.8764,OPL,D0
8,2016,3,44.94382,OPL,D0
8,2016,4,82.02247,OPL,D0
8,2016,5,19.101124,OPL,D0
8,2016,6,10.112359,OPL,D0
8,2016,7,8.988764,OPL,D0
8,2016,8,5.6179776,OPL,D0
8,2016,9,30.337078,OPL,D0
8,2016,10,0.0,OPL,D0
8,2016,11,0.0,OPL,D0
8,2016,12,0.0,OPL,D0
8,2017,1,0.0,OPL,D0
8,2017,2,0.0,OPL,D0
8,2017,3,0.0,OPL,D0
8,2017,4,80.89887,OPL,D0
8,2017,5,94.38203,OPL,D0
8,2017,6,97.75281,OPL,D0
8,2017,7,98.8764,OPL,D0
8,2017,8,95.505615,OPL,D0
8,2017,9,65.16854,OPL,D0
8,2017,10,95.505615,OPL,D0
8,2017,11,100.0,OPL,D0
8,2017,12,92.134834,OPL,D0
8,2018,1,48.314606,OPL,D0
8,2018,2,5.6179776,OPL,D0
8,2018,3,0.0,OPL,D0
8,2018,4,0.0,OPL,D0
8,2018,5,0.0,OPL,D0
8,2018,6,0.0,OPL,D0
8,2018,7,0.0,OPL,D0
8,2018,8,0.0,OPL,D0
8,2018,9,0.0,OPL,D0
8,2018,10,0.0,OPL,D0
8,2018,11,0.0,OPL,D0
8,2018,12,0.0,OPL,D0
8,2019,1,0.0,OPL,D0
8,2019,2,0.0,OPL,D0
8,2019,3,56.179775,OPL,D0
8,2019,4,12.35955,OPL,D0
8,2019,5,77.52809,OPL,D0
8,2019,6,91.01124,OPL,D0
8,2019,7,87.64045,OPL,D0
8,2019,8,98.8764,OPL,D0
8,2019,9,98.8764,OPL,D0
8,2019,10,92.134834,OPL,D0
8,2019,11,26.966291,OPL,D0
8,2019,12,20.224718,OPL,D0
8,2020,1,55.05618,OPL,D0
8,2020,2,95.505615,OPL,D0
8,2020,3,98.8764,OPL,D0
8,2020,4,24.7191,OPL,D0
8,2020,5,8.988764,OPL,D0
8,2020,6,1.1235955,OPL,D0
8,2020,7,4.494382,OPL,D0
8,2020,8,0.0,OPL,D0
8,2020,9,5.6179776,OPL,D0
8,2020,10,12.35955,OPL,D0
8,2020,11,73.03371,OPL,D0
8,2020,12,87.64045,OPL,D0
9,2016,1,100.0,OPL,D0
9,2016,2,100.0,OPL,D0
9,2016,3,76.92308,OPL,D0
9,2016,4,38.46154,OPL,D0
9,2016,5,15.384616,OPL,D0
9,2016,6,0.0,OPL,D0
9,2016,7,0.0,OPL,D0
9,2016,8,0.0,OPL,D0
9,2016,9,7.692308,OPL,D0
9,2016,10,0.0,OPL,D0
9,2016,11,0.0,OPL,D0
9,2016,12,0.0,OPL,D0
9,2017,1,0.0,OPL,D0
9,2017,2,0.0,OPL,D0
9,2017,3,0.0,OPL,D0
9,2017,4,15.384616,OPL,D0
9,2017,5,23.076923,OPL,D0
9,2017,6,100.0,OPL,D0
9,2017,7,92.30769,OPL,D0
9,2017,8,84.61539,OPL,D0
9,2017,9,38.46154,OPL,D0
9,2017,10,92.30769,OPL,D0
9,2017,11,100.0,OPL,D0
9,2017,12,100.0,OPL,D0
9,2018,1,7.692308,OPL,D0
9,2018,2,0.0,OPL,D0
9,2018,3,0.0,OPL,D0
9,2018,4,0.0,OPL,D0
9,2018,5,0.0,OPL,D0
9,2018,6,0.0,OPL,D0
9,2018,7,0.0,OPL,D0
9,2018,8,0.0,OPL,D0
9,2018,9,0.0,OPL,D0
9,2018,10,0.0,OPL,D0
9,2018,11,0.0,OPL,D0
9,2018,12,0.0,OPL,D0
9,2019,1,0.0,OPL,D0
9,2019,2,0.0,OPL,D0
9,2019,3,23.076923,OPL,D0
9,2019,4,69.230774,OPL,D0
9,2019,5,92.30769,OPL,D0
9,2019,6,100.0,OPL,D0
9,2019,7,100.0,OPL,D0
9,2019,8,100.0,OPL,D0
9,2019,9,92.30769,OPL,D0
9,2019,10,61.538464,OPL,D0
9,2019,11,15.384616,OPL,D0
9,2019,12,0.0,OPL,D0
9,2020,1,92.30769,OPL,D0
9,2020,2,100.0,OPL,D0
9,2020,3,100.0,OPL,D0
9,2020,4,76.92308,OPL,D0
9,2020,5,69.230774,OPL,D0
9,2020,6,0.0,OPL,D0
9,2020,7,7.692308,OPL,D0
9,2020,8,15.384616,OPL,D0
9,2020,9,61.538464,OPL,D0
9,2020,10,46.153847,OPL,D0
9,2020,11,84.61539,OPL,D0
9,2020,12,100.0,OPL,D0
10,2016,1,95.290855,OPL,D0
10,2016,2,98.5567,OPL,D0
10,2016,3,83.623695,OPL,D0
10,2016,4,82.92683,OPL,D0
10,2016,5,54.00697,OPL,D0
10,2016,6,40.418118,OPL,D0
10,2016,7,27.1777,OPL,D0
10,2016,8,22.125435,OPL,D0
10,2016,9,20.731707,OPL,D0
10,2016,10,8.013938,OPL,D0
10,2016,11,0.6968641,OPL,D0
10,2016,12,0.17421603,OPL,D0
10,2017,1,0.34843206,OPL,D0
10,2017,2,1.2195121,OPL,D0
10,2017,3,0.0,OPL,D0
10,2017,4,18.466898,OPL,D0
10,2017,5,40.243904,OPL,D0
10,2017,6,56.968643,OPL,D0
10,2017,7,66.02787,OPL,D0
10,2017,8,65.505226,OPL,D0
10,2017,9,54.181183,OPL,D0
10,2017,10,67.24738,OPL,D0
10,2017,11,93.55401,OPL,D0
10,2017,12,86.9338,OPL,D0
10,2018,1,29.268291,OPL,D0
10,2018,2,17.073172,OPL,D0
10,2018,3,0.5226481,OPL,D0
10,2018,4,4.8780484,OPL,D0
10,2018,5,0.0,OPL,D0
10,2018,6,1.0452962,OPL,D0
10,2018,7,2.4390242,OPL,D0
10,2018,8,4.7038326,OPL,D0
10,2018,9,5.923345,OPL,D0
10,2018,10,2.2648084,OPL,D0
10,2018,11,1.5679443,OPL,D0
10,2018,12,2.7874565,OPL,D0
10,2019,1,2.2648084,OPL,D0
10,2019,2,10.97561,OPL,D0
10,2019,3,18.989546,OPL,D0
10,2019,4,31.533102,OPL,D0
10,2019,5,45.29617,OPL,D0
10,2019,6,71.951225,OPL,D0
10,2019,7,79.79094,OPL,D0
10,2019,8,83.44948,OPL,D0
10,2019,9,75.60976,OPL,D0
10,2019,10,80.31358,OPL,D0
10,2019,11,72.8223,OPL,D0
10,2019,12,71.25436,OPL,D0
10,2020,1,71.08014,OPL,D0
