year,month,pct_area,experiment,dry_category,robustness
2018,8,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2018,9,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2018,10,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2018,11,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2018,12,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,1,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,2,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,3,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,4,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,5,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,6,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,7,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,8,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,9,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,10,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,11,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2019,12,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,1,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,2,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,3,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,4,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,5,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,6,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,7,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,8,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,9,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,10,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,11,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2020,12,0.0,OPL,D4,qc_only_not_robust_with_5yr_reference
2016,1,77.55864,DA_NoCDF,D0,main
2016,2,66.09222,DA_NoCDF,D0,main
2016,3,49.500935,DA_NoCDF,D0,main
2016,4,60.511543,DA_NoCDF,D0,main
2016,5,50.155956,DA_NoCDF,D0,main
2016,6,43.686836,DA_NoCDF,D0,main
2016,7,33.992516,DA_NoCDF,D0,main
2016,8,31.297567,DA_NoCDF,D0,main
2016,9,37.31129,DA_NoCDF,D0,main
2016,10,36.007484,DA_NoCDF,D0,main
2016,11,38.2408,DA_NoCDF,D0,main
2016,12,29.132875,DA_NoCDF,D0,main
2017,1,38.365562,DA_NoCDF,D0,main
2017,2,39.26388,DA_NoCDF,D0,main
2017,3,48.484093,DA_NoCDF,D0,main
2017,4,71.09794,DA_NoCDF,D0,main
2017,5,70.9607,DA_NoCDF,D0,main
2017,6,61.11042,DA_NoCDF,D0,main
2017,7,56.30069,DA_NoCDF,D0,main
2017,8,49.975048,DA_NoCDF,D0,main
2017,9,57.604492,DA_NoCDF,D0,main
2017,10,52.514034,DA_NoCDF,D0,main
2017,11,70.18715,DA_NoCDF,D0,main
2017,12,60.779785,DA_NoCDF,D0,main
2018,1,48.477856,DA_NoCDF,D0,main
2018,2,44.391766,DA_NoCDF,D0,main
2018,3,48.08484,DA_NoCDF,D0,main
2018,4,61.528385,DA_NoCDF,D0,main
2018,5,55.396133,DA_NoCDF,D0,main
2018,6,57.01809,DA_NoCDF,D0,main
2018,7,56.09482,DA_NoCDF,D0,main
2018,8,50.22458,DA_NoCDF,D0,main
2018,9,51.915157,DA_NoCDF,D0,main
2018,10,49.96257,DA_NoCDF,D0,main
2018,11,45.321274,DA_NoCDF,D0,main
2018,12,55.202747,DA_NoCDF,D0,main
2019,1,58.995636,DA_NoCDF,D0,main
2019,2,63.568314,DA_NoCDF,D0,main
2019,3,75.72676,DA_NoCDF,D0,main
2019,4,74.12352,DA_NoCDF,D0,main
2019,5,83.59326,DA_NoCDF,D0,main
2019,6,78.93325,DA_NoCDF,D0,main
2019,7,71.8403,DA_NoCDF,D0,main
2019,8,66.65003,DA_NoCDF,D0,main
2019,9,63.0131,DA_NoCDF,D0,main
2019,10,64.68497,DA_NoCDF,D0,main
2019,11,63.456024,DA_NoCDF,D0,main
2019,12,68.066124,DA_NoCDF,D0,main
2020,1,69.95009,DA_NoCDF,D0,main
2020,2,71.51172,DA_NoCDF,D0,main
